2026-06-30 03:26:05 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 03:28:09 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 03:31:20 | DEBUG | RuntimeManager | [STABLEUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 03:31:26 | DEBUG | RuntimeManager | [STABLEUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 03:31:44 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 03:31:55 | DEBUG | RuntimeManager | [DASHUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 03:31:58 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 03:39:22 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 04:10:38 | DEBUG | RuntimeManager | [DASHUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 04:14:38 | DEBUG | RuntimeManager | [STABLEUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 05:11:28 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 05:16:11 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 05:50:15 | DEBUG | RuntimeManager | [STABLEUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 05:54:51 | DEBUG | RuntimeManager | [STABLEUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 05:55:14 | DEBUG | RuntimeManager | [STABLEUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 05:55:21 | DEBUG | RuntimeManager | [STABLEUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 05:55:59 | DEBUG | RuntimeManager | [STABLEUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 05:56:31 | DEBUG | RuntimeManager | [STABLEUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 09:26:36 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 10:42:26 | DEBUG | RuntimeManager | [VVVUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 10:54:42 | DEBUG | RuntimeManager | [VVVUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 11:05:21 | DEBUG | RuntimeManager | [VVVUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 11:30:26 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 11:31:17 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 12:17:37 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 12:52:59 | DEBUG | RuntimeManager | [DASHUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 13:48:55 | DEBUG | RuntimeManager | [STABLEUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 14:02:47 | DEBUG | RuntimeManager | [STABLEUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 14:07:39 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 14:16:11 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 14:33:00 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 14:43:14 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 14:55:28 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 14:55:45 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 14:57:12 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:02:23 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:05:13 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:22:33 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:23:57 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:26:44 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:32:14 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:46:53 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:51:19 | DEBUG | RuntimeManager | [DASHUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 15:59:50 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 16:02:35 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 16:03:11 | DEBUG | RuntimeManager | [DASHUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 18:04:08 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 18:05:39 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 19:23:51 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 19:25:17 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 20:48:11 | DEBUG | RuntimeManager | [VVVUSDT] LONG FSM state reset to default (kept custom config).
2026-06-30 20:48:14 | DEBUG | RuntimeManager | [VVVUSDT] SHORT FSM state reset to default (kept custom config).
2026-06-30 21:19:45 | DEBUG | RuntimeManager | [SOLUSDT] LONG FSM state reset to default (kept custom config).
2026-07-01 00:22:40 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-07-01 01:13:06 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-07-01 01:51:20 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-07-01 01:59:55 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-07-01 03:24:17 | DEBUG | RuntimeManager | [XPLUSDT] SHORT FSM state reset to default (kept custom config).
2026-07-01 04:05:01 | DEBUG | RuntimeManager | [DASHUSDT] SHORT FSM state reset to default (kept custom config).
2026-07-01 04:10:28 | DEBUG | RuntimeManager | [SOLUSDT] SHORT FSM state reset to default (kept custom config).
2026-07-01 04:41:09 | DEBUG | RuntimeManager | [SOLUSDT] LONG FSM state reset to default (kept custom config).
