2026-06-30 14:07:41 | INFO | AvgManager | [XPLUSDT] LONG Averaging triggered for level 1 at price 0.09839 (current: 0.09831)
2026-06-30 14:07:41 | INFO | AvgManager | [XPLUSDT] LONG Canceling all limit orders before averaging...
2026-06-30 14:07:41 | INFO | AvgManager | [XPLUSDT] Opening LONG averaging market order. Level: 1, Volume: 145.0
2026-06-30 14:07:42 | INFO | AvgManager | [XPLUSDT] LONG Averaging order SUCCESS for level 1. Waiting for FSM sync...
2026-06-30 14:07:46 | WARNING | AvgManager | [XPLUSDT] LONG WS did not update avg_entry_price in time! Forcing REST fallback...
2026-06-30 14:07:47 | INFO | AvgManager | [XPLUSDT] LONG REST fallback applied! New avg_entry_price: 0.10073981481481481
2026-06-30 14:55:35 | INFO | AvgManager | [XPLUSDT] LONG Averaging triggered for level 2 at price 0.09528 (current: 0.09522)
2026-06-30 14:55:35 | INFO | AvgManager | [XPLUSDT] LONG Canceling all limit orders before averaging...
2026-06-30 14:55:35 | INFO | AvgManager | [XPLUSDT] Opening LONG averaging market order. Level: 2, Volume: 165.0
2026-06-30 14:55:36 | INFO | AvgManager | [XPLUSDT] LONG Averaging order SUCCESS for level 2. Waiting for FSM sync...
2026-06-30 14:55:40 | WARNING | AvgManager | [XPLUSDT] LONG WS did not update avg_entry_price in time! Forcing REST fallback...
2026-06-30 14:55:41 | INFO | AvgManager | [XPLUSDT] LONG REST fallback applied! New avg_entry_price: 0.0986574712643678
2026-06-30 15:23:44 | INFO | AvgManager | [VVVUSDT] LONG Averaging triggered for level 1 at price 12.804 (current: 12.802)
2026-06-30 15:23:44 | INFO | AvgManager | [VVVUSDT] LONG Canceling all limit orders before averaging...
2026-06-30 15:23:45 | INFO | AvgManager | [VVVUSDT] Opening LONG averaging market order. Level: 1, Volume: 1.11
2026-06-30 15:23:45 | INFO | AvgManager | [VVVUSDT] LONG Averaging order SUCCESS for level 1. Waiting for FSM sync...
2026-06-30 15:23:50 | WARNING | AvgManager | [VVVUSDT] LONG WS did not update avg_entry_price in time! Forcing REST fallback...
2026-06-30 15:23:50 | INFO | AvgManager | [VVVUSDT] LONG REST fallback applied! New avg_entry_price: 13.116043478260869
2026-06-30 16:02:46 | INFO | AvgManager | [XPLUSDT] LONG Averaging triggered for level 3 at price 0.09011 (current: 0.09009)
2026-06-30 16:02:46 | INFO | AvgManager | [XPLUSDT] LONG Canceling all limit orders before averaging...
2026-06-30 16:02:46 | INFO | AvgManager | [XPLUSDT] Opening LONG averaging market order. Level: 3, Volume: 191.0
2026-06-30 16:02:47 | INFO | AvgManager | [XPLUSDT] LONG Averaging order SUCCESS for level 3. Waiting for FSM sync...
2026-06-30 16:02:51 | WARNING | AvgManager | [XPLUSDT] LONG WS did not update avg_entry_price in time! Forcing REST fallback...
2026-06-30 16:02:52 | INFO | AvgManager | [XPLUSDT] LONG REST fallback applied! New avg_entry_price: 0.0959793610223642
